#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
      23	200014	 35	36.14	 0.08	168.8	     	A0548-2  	 11	  17813	230.27	-24.92	261.8358	-71.1988	13.07	  4.89	 795	 2.1570	12923	12739	12721	12993	13436	 396	  170.667	 1001.3330	    	    	3728	      0	2225	Simbad	086.6438	-25.6366
      24	100024	 34	36.02	 0.08	160.3	A3571	         	 24	  48896	316.40	+28.45	151.6144	  2.1539	13.32	  3.89	 982	 2.6680	11768	11626	11555	12033	12413	 729	 1168.000	 1893.3330	    	    	1877	      0	2556	Simbad	206.9824	-32.9400
      25	200005	 34	33.92	 0.06	 60.7	     	Pisces   	 48	   4224	127.31	-30.01	328.9346	  5.4694	12.66	  1.22	 553	 1.5030	 5132	 5296	 5368	 4838	 4900	 432	  292.000	  338.6670	  79	  56	4355	      0	2041	Simbad	017.3653	+32.7085
      26	200012	 33	34.84	 0.07	 92.9	A0400	         	 44	  11188	170.03	-44.92	312.1102	-27.2311	12.79	  1.58	 621	 1.6850	 7303	 7321	 7365	 7095	 7227	 628	  672.000	  477.3330	 215	 193	3802	      0	2092	Simbad	044.3051	+06.1438
      27	100046	 30	35.77	 0.08	142.7	A2063	         	 19	  54913	012.74	+49.67	117.7452	 37.8247	12.95	  2.90	 714	 1.9400	10465	10513	10488	10625	10921	 737	 1230.667	  728.0000	    	    	2315	      0	2613	Simbad	230.7571	+08.5573
      28	100012	 30	33.74	 0.08	 55.9	AS753	         	 43	  50100	319.41	+26.74	153.5729	  4.6472	12.61	  1.18	 532	 1.4450	 4178	 4043	 3972	 4428	 4480	 386	  220.000	  301.3330	 985	 828	1279	      0	2591	Simbad	210.6182	-33.8486
      29	100005	 28	34.73	 0.06	 88.4	A1367	Leo      	 61	  36487	234.22	+73.06	 92.0255	-10.4950	13.03	  1.58	 766	 2.0800	 6536	 6482	 6458	 6863	 6987	 707	  720.000	  897.3330	 811	 669	1934	      0	2453	Simbad	176.0664	+20.0020
      30	100036	 26	36.45	 0.09	195.4	A1631	         	 18	  43547	303.22	+47.65	130.9534	 -4.7198	13.62	  7.12	1233	 3.3490	14005	13873	13810	14338	14879	 733	 1626.667	 3746.6670	    	    	2839	      0	   0	Simbad	193.0606	-15.2213
      31	200028	 25	36.19	 0.10	173.0	AS574	         	 26	  18618	252.20	-25.99	222.4885	-59.2162	13.54	  4.41	1164	 3.1600	12741	12520	12481	12837	13270	1078	 2480.000	 3146.6670	    	    	3860	      0	   0	Simbad	092.2321	-44.9240
      32	200018	 25	35.06	 0.09	102.9	A2870	A2877    	 32	   4149	293.91	-70.57	251.7068	-13.6204	12.76	  1.60	 605	 1.6410	 6968	 6886	 6876	 6778	 6899	 593	  694.667	  441.3330	  70	  54	3467	      0	2071	Simbad	017.1860	-46.2539
      33	200027	 24	35.92	 0.10	152.9	     	J34      	 25	  15931	213.94	-34.91	291.6031	-58.8490	13.11	  2.81	 824	 2.2360	10829	10702	10706	10800	11106	 791	 1400.000	 1116.0000	 344	    	3918	      0	2182	Simbad	071.3442	-15.8902
      34	100011	 24	33.96	 0.08	 62.0	A3574	         	 45	  49025	317.11	+30.81	149.3252	  3.0111	12.75	  1.23	 597	 1.6210	 4597	 4461	 4391	 4866	 4929	 440	  257.333	  425.3330	 956	 807	1282	      0	2543	Simbad	206.9913	-30.5007
      35	200085	 22	36.53	 0.11	201.9	AS861	         	 12	  64509	345.63	-34.33	219.6868	 19.0537	13.48	  9.10	1110	 3.0150	14783	14736	14701	14657	15222	 550	  566.667	 2733.3330	    	    	3387	      0	   0	Simbad	304.7641	-52.8732
      36	200192	 21	35.89	 0.09	150.9	     	J10      	  8	  18592	240.30	-22.63	233.9238	-69.4691	12.69	  3.21	 568	 1.5440	11381	11172	11142	11483	11829	 255	  150.667	  366.6670	    	    	    	      0	2271	Simbad	092.5592	-33.5789
      37	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.4640	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.3330	  79	  73	4352	      0	2042	Simbad	021.0432	+33.5769
      38	100058	 20	36.16	 0.10	170.5	A1139	         	 15	  33000	251.61	+52.92	106.1791	-27.3005	13.05	  4.09	 781	 2.1210	11895	11755	11712	12261	12656	 326	  164.000	  952.0000	    	    	2708	      0	2412	Simbad	164.7681	+01.6295
      39	200019	 20	35.41	 0.11	120.6	     	         	 32	  66039	034.65	-35.25	254.7961	 46.7346	12.82	  2.09	 637	 1.7310	 8466	 8586	 8601	 8176	 8351	 377	  300.000	  517.3330	1375	1127	3988	      0	   0	Simbad	315.5981	-13.9679
      40	200092	 20	33.35	 0.07	 46.7	     	Pegasus  	 16	  71121	087.34	-48.45	298.0557	 25.0155	12.05	  1.08	 323	 0.8770	 3389	 3551	 3605	 3019	 3043	 306	  102.533	   67.3330	1507	1226	4334	      0	2932	Simbad	349.9173	+07.9772
      41	100491	 20	28.44	 0.04	  4.9	     	         	  3	  46153	107.66	+74.49	 76.1665	 13.7581	11.03	  1.00	 131	 0.3570	  554	  624	  629	  760	  762	  73	    0.000	    4.5330	 852	 699	    	5066946	   0	Simbad	198.2970	+41.9871
      42	100533	 19	36.33	 0.10	184.3	A0957	         	  4	  29807	242.80	+42.87	104.5009	-38.8510	13.13	  7.31	 842	 2.2850	14064	13902	13861	14421	14968	 654	    0.000	 1190.6670	    	    	    	      0	2411	Simbad	153.3936	-00.8372
      43	200051	 19	36.28	 0.11	180.3	A3407	         	 16	  20122	259.72	-17.89	203.0592	-56.3958	13.28	  4.47	 954	 2.5910	12733	12494	12443	12882	13318	 572	  937.333	 1733.3330	    	    	4124	      0	2311	Simbad	106.6235	-49.2318
      44	100350	 19	27.96	 0.04	  3.9	     	         	  6	  46957	307.91	+17.07	161.8581	 -7.1143	12.01	  1.00	 312	 0.8470	  532	  351	  275	  783	  785	 163	   23.600	   60.6670	 391	 793	    	5066940	 240	Simbad	199.6610	-45.5386
      45	100233	 18	36.69	 0.10	218.0	A3566	         	  7	3811057	313.55	+26.49	153.2607	 -0.5850	13.25	  9.78	 934	 2.5360	15066	14913	14840	15333	15952	 565	 1013.333	 1626.6670	    	    	2178	      0	   0	Simbad	204.5346	-35.4170
      46	200026	 18	36.64	 0.12	213.2	A3395	         	 26	  19085	264.01	-24.99	212.1414	-50.3047	14.04	 10.32	1703	 4.6250	15424	15194	15144	15531	16166	1251	 9106.667	 9866.6670	    	    	3615	      0	   0	Simbad	097.3985	-55.1074
      47	230014	 18	35.94	 0.11	154.2	     	A0548S   	 11	  17613	230.44	-25.88	261.8135	-70.2259	13.02	  3.54	 758	 2.0570	11546	11363	11345	11610	11964	 366	  174.667	  869.3330	    	    	3728	      0	2225	Simbad	085.6934	-26.0990
      48	120002	 18	32.59	 0.08	 33.0	     	VirgoW   	 39	  40001	282.33	+67.21	108.6316	 -6.8673	12.36	  1.03	 426	 1.1570	 2204	 2116	 2074	 2550	 2567	 331	  144.000	  154.6670	 852	 716	   1	5066881	  56	Simbad	184.9878	+05.6062
      49	101368	 18	27.85	 0.04	  3.7	     	         	  3	  28630	142.14	+40.93	 41.1548	  0.5536	 9.88	  1.02	  50	 0.1350	   -2	  111	  154	   79	   79	  27	    0.000	    0.2430	 852	 673	    	5066767	 217	Simbad	148.8981	+69.0183
      50	100115	 17	36.40	 0.10	190.2	A1983	         	 10	  53274	019.13	+59.95	106.2747	 32.2619	13.14	  5.58	 847	 2.3000	13299	13351	13331	13486	13964	 426	  348.000	 1213.3330	    	    	2887	      0	2575	Simbad	223.3817	+16.7606
      51	200110	 17	35.11	 0.11	105.4	AS301	         	 11	  10707	229.17	-63.77	269.0597	-32.5398	12.18	  1.55	 362	 0.9840	 6944	 6850	 6853	 6785	 6906	 354	  149.333	   95.0670	 208	 183	3665	      0	2111	Simbad	042.6248	-31.2667
      52	200004	 17	33.79	 0.11	 57.2	AS805	PavoII   	 66	  62407	332.38	-23.26	205.2602	 11.1286	12.76	  1.23	 605	 1.6410	 4474	 4373	 4320	 4448	 4501	 473	  385.333	  441.3330	1259	1034	4555	      0	2753	Simbad	281.1680	-63.1361
      53	100055	 16	36.37	 0.11	187.6	     	A1736b   	 15	  47150	312.53	+35.05	144.6676	 -0.3125	13.46	  6.28	1094	 2.9710	13620	13479	13410	13913	14422	 991	 2426.667	 2613.3330	    	    	2363	      0	2542	Simbad	201.6846	-27.1630
