#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:06:33 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:06:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out=GLON,GLAT,Dist,e_Dist&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
GLON	GLAT
136.98	-53.57
328.27	+44.84
310.04	-34.82
248.30	+41.89
130.60	-47.05
325.83	+44.14
262.27	-46.93
246.41	-18.39
275.41	-28.96
022.17	-25.32
248.25	-10.97
245.05	-21.15
024.50	-75.98
171.97	-30.69
356.52	-36.20
216.37	-34.55
355.76	-42.13
326.52	+21.12
075.46	-34.50
057.22	-42.36
143.24	-11.10
242.15	+39.17
315.01	+41.13
320.98	+52.85
219.72	+89.13
257.65	-83.28
317.34	-25.21
128.45	-67.55
112.80	-28.89
144.19	-47.52
103.36	-27.30
148.87	-24.79
140.09	-22.63
191.77	-42.54
265.11	+18.82
110.00	+55.46
353.44	+52.62
211.02	-54.42
171.25	-52.63
181.71	-58.34
100.23	+79.35
335.93	+68.75
301.49	+61.64
292.42	+65.07
298.35	+65.93
331.85	-25.42
101.99	+59.70
041.91	+47.25
344.13	-32.80
340.93	-33.31
219.77	-31.61
266.74	-27.44
132.47	-79.20
293.21	-37.56
317.97	+17.83
264.52	+47.78
331.23	-70.66
115.46	-72.20
239.18	+24.74
305.41	-68.89
303.64	+33.91
224.61	-34.25
244.56	+41.53
327.03	-12.44
307.00	+43.54
347.81	-59.83
307.90	+41.96
287.46	+24.19
256.53	-25.34
307.28	+46.17
328.09	-18.31
266.14	-47.18
209.07	-68.33
201.24	+68.88
300.19	+55.35
285.74	-27.32
251.81	-38.13
312.35	-21.87
004.25	-41.03
305.50	+43.46
225.82	+19.36
152.15	-77.41
255.79	-18.06
343.00	-40.31
291.45	+43.53
228.79	+19.98
227.39	+21.64
224.82	-33.57
356.73	+46.54
218.40	-34.15
346.85	-53.45
242.54	+13.30
313.70	-59.28
064.33	-73.82
025.09	-32.84
164.72	-58.64
278.04	-28.18
254.46	+42.83
279.97	-30.11
206.26	-35.46
151.94	+63.54
182.66	-48.22
197.65	-66.95
317.10	-25.19
189.22	-56.20
085.87	+35.43
080.38	+23.19
296.93	+10.54
327.18	-13.12
225.94	-19.76
321.07	-40.55
295.48	-70.50
118.13	+63.35
191.14	+44.46
140.13	-62.60
274.58	+49.33
104.99	-33.04
221.98	-26.52
270.88	-34.70
246.95	+18.19
255.58	+66.62
008.80	-27.21
319.01	+32.66
146.79	-25.28
150.78	-53.47
201.30	-27.93
141.93	-35.53
081.55	-59.35
327.30	-11.27
199.01	-31.21
108.94	-64.16
335.92	-26.53
273.65	-20.26
274.98	+14.97
307.88	+19.23
261.24	+21.82
231.14	+25.65
341.15	+27.70
143.83	+55.24
209.71	-50.28
140.54	-38.86
087.94	-39.12
349.04	+58.30
151.05	-67.63
347.84	-65.62
312.09	+40.90
309.52	+55.48
306.03	+64.59
241.39	-36.03
104.87	+68.54
141.41	+40.57
099.48	+29.89
318.12	+46.29
127.05	-73.22
002.89	-42.64
143.01	-76.08
131.99	-76.72
144.15	-77.79
144.93	-66.10
130.57	-45.56
345.92	-45.41
019.54	-22.84
238.13	-14.99
259.41	+31.44
227.27	-21.44
144.92	-81.80
243.79	-26.20
008.86	+58.07
205.31	-20.88
344.76	-28.05
050.03	-38.22
259.36	+46.79
320.84	-23.30
239.82	-41.14
035.90	-44.84
312.97	+32.70
267.62	-49.19
231.16	+20.25
287.35	+15.10
138.83	-75.71
202.76	-40.65
200.55	-36.43
198.15	-43.33
298.27	+10.86
323.80	+38.70
022.77	-29.35
317.48	+48.38
069.49	+26.97
125.88	-49.82
282.38	+10.60
269.05	-29.67
323.99	+37.59
230.17	-34.24
226.23	-34.24
281.51	-24.38
190.67	-53.75
018.42	+60.81
223.73	+18.64
227.83	+22.76
271.22	+49.33
189.85	-60.90
030.02	-41.74
290.66	+17.16
200.86	-50.91
329.66	+38.87
200.76	-41.59
248.21	+22.62
182.36	+70.25
125.02	-35.93
312.42	+47.11
316.62	+19.18
268.02	+48.89
050.45	+78.46
143.66	-78.09
069.40	+32.23
305.89	+30.40
299.92	+45.49
066.12	-62.40
211.22	-39.90
317.40	+30.22
139.53	-59.85
099.48	-27.17
078.86	-55.84
201.48	-22.80
308.16	+25.37
258.30	+37.87
264.20	+37.05
285.20	-26.56
240.61	-22.43
082.00	-53.96
112.21	-33.36
236.76	-25.80
001.24	+43.42
220.69	-31.26
184.45	-58.25
263.25	-31.76
205.02	-36.77
028.03	-46.51
285.04	-20.84
345.26	+37.06
220.69	-32.42
313.69	+48.14
298.44	-55.44
256.16	+24.14
095.44	-24.44
025.84	-41.57
096.92	-32.82
278.67	+12.90
334.74	+74.75
251.81	+63.42
117.22	-31.82
000.86	+34.50
003.40	+62.32
317.30	+12.44
199.12	-62.14
348.75	+38.75
119.56	-33.30
168.78	-51.11
226.98	+43.61
346.84	-35.29
012.07	-23.04
156.84	-62.59
272.48	-76.87
134.86	-62.84
322.64	+34.26
172.47	-60.92
311.79	+32.38
256.73	+27.40
329.82	-15.05
190.62	-53.20
111.39	-36.04
286.44	-56.90
089.74	-43.35
321.25	-15.24
140.01	-59.99
287.41	+11.33
339.90	+34.35
210.09	-29.72
152.45	-43.34
153.13	-35.73
092.68	+47.00
271.82	+24.49
306.06	+32.57
329.13	-42.03
326.33	-44.54
136.08	+39.40
088.42	+60.41
014.92	-53.11
307.98	+14.94
309.85	+43.08
127.93	+28.08
275.88	+19.61
123.02	+44.48
297.65	+23.05
192.25	+50.62
203.93	+63.40
139.76	+56.43
125.58	+41.61
226.52	+61.40
236.76	-12.86
004.45	-64.07
129.95	+51.37
135.09	+32.95
138.05	+12.69
225.85	+86.23
241.33	+64.37
304.21	+34.39
305.70	+11.71
019.02	+60.95
156.62	-67.12
121.94	-67.19
162.28	-68.73
196.03	-56.10
306.63	+15.11
161.45	-37.33
258.27	+39.61
041.99	-74.66
320.63	-34.05
248.99	+44.36
272.15	-39.75
330.89	-44.31
227.45	-26.68
304.71	+29.13
170.84	-56.37
343.34	-36.95
324.90	+50.02
306.51	+31.20
256.04	-29.07
270.78	-51.23
308.30	+51.52
155.08	-73.85
314.52	+27.67
334.79	-20.97
011.13	+34.17
203.35	-36.20
345.33	-32.61
174.11	-51.76
226.42	+18.04
207.79	-36.52
147.35	-77.15
269.70	+13.44
179.42	-48.59
340.87	+40.37
306.15	-26.05
311.74	+49.20
321.61	-12.86
330.79	+48.65
181.71	-78.71
237.12	+10.70
306.39	+28.46
219.47	-31.92
337.03	-50.85
308.76	+40.67
240.01	+32.96
206.65	-49.97
273.01	-43.53
048.19	-54.56
200.99	-34.52
303.26	+17.81
211.88	-23.83
356.64	-37.23
337.67	-61.83
315.17	+38.97
215.24	-31.10
308.97	+21.36
357.63	-42.02
259.99	-24.87
250.15	-37.69
268.26	-33.79
069.03	-53.55
219.08	-19.21
097.53	-80.20
147.41	-30.52
232.19	+19.59
295.30	-36.74
031.36	+47.26
235.97	+19.69
234.83	+25.25
214.06	-41.12
124.76	-66.39
349.52	-63.56
332.58	+49.32
093.31	-61.18
251.94	-33.77
344.06	-64.01
313.56	-32.84
232.28	+23.64
170.57	-53.81
333.53	-27.70
295.45	+15.50
312.49	+48.07
348.63	-31.90
024.83	-32.89
002.48	-29.31
018.34	-35.17
351.77	+28.92
014.69	+74.99
245.90	+21.33
335.78	-28.86
336.84	-46.31
271.58	+12.89
040.54	+45.08
321.47	+25.69
319.95	+33.47
356.31	-73.11
195.83	-65.08
027.86	+41.59
208.24	-49.57
229.86	-30.37
230.30	-32.54
000.41	+09.25
299.56	+16.56
233.00	-29.25
203.53	+67.73
181.87	-59.43
180.07	-48.08
286.60	-35.70
142.87	-74.83
149.82	-41.95
025.63	-11.98
325.41	+16.15
008.83	+33.95
260.23	-28.95
331.63	+16.26
243.64	-18.23
339.54	-36.55
225.57	-33.29
193.57	-34.59
130.65	-46.72
320.77	-45.63
318.45	-63.34
284.40	-21.17
026.75	-34.40
264.47	-29.21
318.55	-25.68
275.90	-25.01
255.31	+35.25
218.19	-29.33
312.64	+37.08
265.91	+50.56
355.09	-53.25
309.16	+20.88
153.62	-64.70
182.14	-52.45
230.81	+54.20
205.44	-36.63
013.57	+76.62
217.18	-29.28
231.83	-30.59
092.22	-27.79
284.01	-20.09
225.21	+20.16
025.57	-29.53
035.40	-36.93
307.56	+45.38
284.83	-54.14
003.42	-62.37
289.25	+28.87
316.86	+39.54
315.36	+38.36
260.65	+47.03
061.00	+68.55
022.61	+44.57
105.82	-32.60
289.67	+16.37
282.01	-54.72
149.67	-42.62
298.48	+42.67
008.53	-41.27
282.05	-20.49
252.08	+48.30
301.31	-69.77
345.50	-31.76
152.14	-49.34
025.47	-41.44
357.70	-40.64
040.89	+85.15
001.23	+37.86
082.53	-41.73
350.99	-51.06
310.88	+38.03
223.94	-27.13
338.67	+31.84
304.30	+18.89
095.80	-75.65
218.50	+86.56
352.75	+58.20
242.36	+35.59
260.09	+33.02
274.57	+56.27
301.03	-64.13
348.30	-17.05
279.10	+42.31
334.43	+71.92
114.36	-32.40
353.30	+70.72
295.47	+55.13
197.08	-25.09
311.23	+49.52
025.83	-29.13
292.63	+56.52
013.51	+21.91
084.54	-41.23
093.68	-60.43
110.42	-34.36
328.25	+18.87
217.28	-32.20
220.55	-32.52
032.59	-35.61
045.94	-59.81
269.88	-19.54
032.48	-14.48
188.13	-46.70
009.82	-25.62
091.77	+30.37
097.14	-70.60
166.89	-42.82
155.98	-55.50
350.92	-23.07
272.66	+58.02
359.81	-33.28
258.29	+65.70
200.98	+30.63
320.04	+34.03
042.48	-56.33
052.30	+19.45
236.84	+25.71
112.77	-65.54
223.40	-79.16
023.06	-55.35
025.24	-30.49
116.77	-53.81
318.59	-21.36
349.09	-34.94
281.13	-17.24
061.31	-24.33
239.22	+29.80
262.98	-78.33
119.22	-72.47
088.56	-60.70
146.87	-56.20
123.62	-33.61
204.02	-30.07
004.40	-32.14
249.55	+25.48
319.02	-19.79
137.46	+17.26
099.11	-52.25
167.83	-52.86
157.88	-72.30
347.39	+64.59
009.87	+69.56
282.46	-25.87
292.02	+54.73
066.93	+81.75
285.41	-58.61
144.34	-49.89
314.39	+30.92
224.56	+20.23
121.39	-54.66
154.87	-51.69
049.92	-17.10
054.25	-15.92
129.60	+27.02
152.14	-16.94
189.37	-62.36
183.96	+19.72
245.69	+16.89
039.42	+19.91
151.74	-37.31
342.11	-26.97
203.53	-27.66
225.04	+38.75
340.09	-25.14
222.76	-21.48
241.80	-08.15
137.09	-57.47
307.84	+38.95
024.68	-28.69
350.30	-43.71
267.14	+16.58
102.69	+58.97
210.40	+76.18
139.78	+33.92
351.74	+56.44
256.65	+57.78
259.58	+15.15
157.82	+48.36
155.47	+40.43
201.54	+58.63
245.36	+10.06
037.96	+17.48
202.00	-68.32
294.13	+75.91
338.61	-82.58
277.27	+31.15
225.72	-26.62
232.72	-46.47
033.50	-51.08
218.54	-60.40
340.84	+63.20
219.28	-57.39
091.91	+51.72
202.09	+65.52
170.65	+74.17
141.61	-47.35
251.88	+16.75
145.01	-19.25
142.78	+84.23
150.57	+29.19
113.58	-76.31
321.91	+48.90
165.62	-63.12
321.33	-73.81
302.07	+50.68
309.04	+25.34
242.45	+34.55
013.17	+32.23
022.18	+61.22
011.21	+30.18
181.96	-66.87
229.84	+19.50
045.47	+40.81
302.95	+40.07
312.18	+20.77
172.79	-72.43
311.94	+24.78
053.77	-42.87
211.99	-29.68
226.17	+11.34
187.38	-69.12
344.37	-43.67
326.22	-46.68
213.98	-28.22
327.31	+36.25
344.44	+31.75
299.21	+50.17
234.95	+16.41
017.75	-21.96
125.53	-70.20
277.73	-27.46
217.20	-27.94
251.55	-60.43
113.38	-64.73
264.46	+35.25
337.73	+38.71
232.78	-17.42
328.65	-11.03
265.11	+48.36
226.57	-27.50
155.82	-61.55
071.16	-78.20
104.85	-69.31
303.46	+43.26
299.56	-30.29
254.65	-35.50
317.13	+44.06
240.70	+26.73
065.96	-53.39
296.33	-13.36
245.95	+39.54
158.03	-66.02
304.89	+34.68
229.39	+15.22
176.63	-60.78
135.61	-76.33
133.96	-77.91
272.49	-24.39
300.05	+61.16
317.33	+44.87
292.10	+24.78
150.71	-79.94
308.18	+37.84
227.38	+22.80
314.44	+32.65
186.14	-73.65
031.17	-34.07
003.01	+35.54
308.44	+30.72
320.65	-36.36
302.96	+44.35
326.90	+37.64
268.60	-32.96
352.95	-44.05
176.78	-52.62
259.13	+38.39
212.89	-34.17
338.79	-76.93
100.71	-61.81
044.46	-46.43
020.84	-74.46
285.36	+13.64
306.00	-68.24
013.74	+31.45
308.52	+46.97
173.70	-32.16
171.21	-57.78
219.11	-27.10
311.44	+44.66
153.92	-80.61
243.14	-23.23
191.68	-54.89
309.11	-64.11
260.43	-26.48
228.69	+12.90
269.65	-77.40
287.47	+13.05
341.11	-13.62
016.52	+28.17
242.67	-18.18
221.57	-32.41
254.93	+51.60
180.10	-47.16
274.29	-27.30
035.47	-78.55
214.18	-58.94
209.17	-35.11
347.73	-78.01
131.99	-68.95
343.43	-17.40
245.30	+42.78
290.02	-37.60
040.23	-48.43
348.96	-38.66
030.05	-30.25
287.33	-16.48
300.57	+50.07
318.61	+44.83
173.18	-53.25
298.75	+62.62
250.54	+38.82
118.71	-65.83
253.20	+30.88
232.15	+14.85
333.37	-20.88
329.11	-58.56
241.67	+12.77
254.91	-33.99
316.85	-39.55
335.93	+51.73
358.57	+20.50
286.32	-38.69
221.91	-44.37
152.13	-72.84
020.01	+52.51
281.20	-25.24
268.59	+53.61
269.88	-54.13
328.99	-52.14
358.53	-39.99
155.60	-72.61
292.58	+10.61
047.60	-46.98
310.73	+55.92
244.50	-26.13
229.23	+11.07
088.27	-46.84
358.29	+22.80
330.05	+38.32
309.92	+26.65
198.99	-35.20
279.32	+44.46
020.57	+46.58
302.51	-51.25
246.90	-16.18
242.36	+27.15
058.68	-55.06
258.69	-44.39
330.39	-57.85
151.52	-68.44
209.25	-34.42
326.93	-16.51
067.88	-57.77
173.12	-59.97
250.25	+29.61
319.45	-39.58
332.52	+17.60
229.71	-19.61
318.58	-17.37
283.89	-18.86
023.73	-31.13
247.75	+42.79
320.66	-34.95
334.66	+42.15
262.98	+35.59
193.74	-29.50
283.71	-28.13
266.03	-13.19
249.13	+35.57
324.60	-20.41
185.40	-51.70
006.76	+47.74
322.87	+54.99
320.16	+27.48
207.26	-68.04
234.03	+24.51
229.49	-23.86
217.79	-49.23
263.98	-27.47
306.90	+54.99
022.94	-33.46
208.78	-63.22
309.91	+50.29
338.73	-50.47
204.47	-35.78
027.65	-39.64
179.23	-48.04
346.18	-51.70
020.81	-18.93
323.23	+30.71
259.93	+13.35
168.49	-60.66
246.81	-21.67
274.54	-29.53
297.98	+48.10
316.84	+26.29
331.63	-49.58
249.70	+38.07
246.76	-21.41
305.99	+38.86
076.34	-30.13
298.66	+12.26
224.66	-55.14
039.35	+54.78
083.91	-47.37
042.59	-20.01
022.94	-23.54
327.09	-20.35
252.74	+36.02
216.79	-23.79
251.80	-34.58
275.36	-24.14
049.41	+35.39
239.61	+32.03
246.38	-17.08
039.71	+53.20
080.58	-37.24
308.29	-34.52
308.01	-24.21
314.62	+29.22
325.07	+38.85
254.11	+18.94
218.17	-32.46
251.14	+49.76
040.04	+51.53
264.16	+13.19
048.96	-31.66
264.91	-45.82
250.08	+29.24
345.53	-50.87
281.65	+10.09
196.99	-62.74
208.43	-50.38
310.60	-23.14
162.84	-32.71
260.58	+49.46
244.51	-19.60
300.76	+10.55
317.78	+43.25
252.48	-27.76
277.06	-23.12
029.95	-36.66
033.02	-37.76
039.01	+44.57
280.21	-54.53
012.76	+17.10
261.12	-28.08
175.03	-60.48
257.96	+42.58
249.77	-40.86
312.78	-33.81
144.24	-64.68
270.29	-28.01
046.67	-32.57
037.24	-50.29
267.78	+72.32
220.00	-27.19
001.54	-30.48
261.28	-14.64
322.02	-37.30
353.39	-53.44
230.99	-16.40
285.64	+27.29
135.28	-73.90
156.41	-37.83
349.66	-51.45
260.44	+18.09
209.87	-61.50
293.58	+46.79
194.51	-51.71
264.89	+47.66
052.59	+34.48
272.64	-28.61
269.50	+38.29
277.67	-25.32
168.67	-34.23
148.35	-32.67
047.76	-31.37
248.28	+29.86
277.20	-24.92
056.29	+39.56
309.30	-33.73
320.02	-64.13
002.84	+59.06
212.05	+24.50
092.14	-41.30
120.85	-26.03
221.11	-31.75
009.36	-20.16
334.54	+55.73
081.42	-69.40
271.26	-20.96
249.36	-27.70
026.17	-18.93
202.41	-50.85
180.29	-72.19
199.28	-57.32
020.11	+58.62
174.84	-79.34
195.75	-33.97
227.52	-10.20
302.24	+41.28
308.32	+40.41
032.72	-31.68
334.82	-33.55
291.41	-41.38
227.48	-62.87
263.24	+48.33
161.02	-39.43
190.41	+25.11
223.22	-32.08
004.56	-59.70
031.48	-16.37
258.14	-30.19
268.86	-26.49
317.07	-39.73
259.11	+11.74
311.28	-57.44
224.16	-32.40
285.68	+11.14
148.53	-69.62
203.95	-29.50
317.55	+41.50
298.98	-21.30
281.02	+37.45
335.51	+20.92
003.39	+34.15
308.89	+40.96
248.89	+43.77
283.53	-21.95
278.19	-23.01
015.55	-44.17
237.09	-25.76
248.68	-13.58
330.14	+16.95
016.17	-77.95
220.74	-31.58
227.88	+20.52
330.23	-18.87
267.62	+16.36
317.58	+37.83
019.01	-76.93
037.23	+42.72
020.63	-77.95
205.27	-37.33
180.51	-65.94
183.69	-46.83
295.17	-42.74
283.68	+24.32
227.21	+22.10
016.95	+22.78
301.21	+20.32
234.76	+23.14
285.40	+27.69
201.58	-36.14
337.66	-33.34
325.93	+24.33
288.83	-17.38
093.12	-60.93
018.61	+22.73
151.38	-65.35
310.66	-59.82
357.47	-44.78
209.29	-40.11
342.81	-57.17
082.18	-31.65
006.32	+39.09
310.05	+27.59
093.51	-30.25
316.08	-74.36
039.59	+49.29
250.71	+32.68
108.23	-34.34
261.51	-53.03
298.61	+53.79
357.34	-42.81
092.49	-24.61
112.16	-34.13
282.96	+71.04
118.39	-41.18
193.13	-36.17
304.72	+42.35
204.09	-37.77
334.58	-48.80
229.54	-42.03
088.44	-75.95
066.87	-43.22
259.28	+44.63
305.68	+40.63
154.06	-36.77
305.62	+40.13
310.25	+31.56
011.38	+54.88
235.88	-25.29
335.46	-31.83
103.98	-52.86
265.33	+11.66
209.93	-46.74
263.78	+57.58
271.91	-19.68
315.01	+38.24
352.38	+37.92
289.17	-71.93
294.33	-23.64
271.72	-21.74
229.82	-25.79
357.87	+38.32
066.28	-31.85
299.67	+15.17
327.98	+41.19
261.66	-76.92
029.20	-35.68
012.15	+34.53
002.88	+19.46
225.16	-18.38
304.69	-10.58
281.56	-21.48
247.62	-27.61
040.69	-15.22
294.79	+44.45
031.63	-21.13
280.56	-18.26
244.33	-26.50
312.02	+36.11
212.90	-58.84
008.73	-58.61
003.59	+16.78
350.39	+30.70
256.26	+31.19
175.99	-49.85
270.14	-78.88
247.34	+17.36
028.35	-43.70
350.64	-42.74
351.68	+64.54
274.99	-70.01
194.81	+26.08
188.07	+49.20
032.86	-36.86
207.04	-36.25
349.32	-45.22
343.39	-23.15
193.17	-53.34
083.33	-58.29
286.23	-72.01
329.73	+18.91
277.92	-72.64
044.41	+52.37
005.08	-17.14
262.69	+42.01
246.96	+35.79
034.34	-17.06
198.89	-62.03
354.07	-32.83
067.23	+36.77
206.66	+46.23
259.23	-28.90
270.70	+12.05
013.50	+12.54
206.26	-39.80
303.77	-64.98
345.85	-31.48
079.92	-54.83
358.08	+64.12
234.95	-16.32
282.03	+36.53
172.73	-54.08
266.34	-25.62
244.93	-29.99
356.29	-36.33
027.89	+24.16
060.62	+17.41
197.86	-57.41
025.06	-74.48
313.63	-42.79
311.07	+55.21
074.78	-33.59
139.70	-25.67
298.59	-10.08
098.72	-25.59
282.80	-15.46
225.91	+20.56
184.99	+19.18
355.04	+33.79
311.75	-32.17
269.04	-22.88
029.71	+64.21
003.84	-25.38
352.83	+30.19
333.48	-27.69
103.00	-54.13
